dong,domestic_living,foreign_living,car_registration,nomal_restaurant,m_traffic,w_traffic,pub,people,generation,street_parking,attached_parking,parking_space,ipw,large_store,public_parking
광장동,34823.37809,695.920133,11646,165,12182,12510,5,34061,"11,824",34,325,9,4671,1,3
구의1동,25200.11901,1087.781196,7005,411,19228,18744,12,"23,365","13,139",14,1349,103,2060,0,2
구의2동,21965.3827,654.010771,7346,251,17194,15548,2,"25,875","11,517",48,1270,38,3873,2,3
구의3동,30185.07775,622.406775,9127,216,31831,29823,4,"28,140","12,128",31,677,91,4100,5,3
군자동,19470.59445,2085.954162,5223,350,6819,6139,3,"19,318",11385,15,987,44,2937,1,2
능동,16376.30002,801.634267,3060,135,32048,29653,0,"11,180","6,463",42,816,51,2283,0,2
자양1동,23734.6214,1758.140987,7366,154,4423,4197,5,"22,134","12,093",11,962,24,1572,0,1
자양2동,21138.19432,638.433025,7598,162,4711,4342,0,"23,745","10,837",82,1165,281,1493,2,1
자양3동,24233.32138,813.777025,8970,293,4800,4291,3,"27,434","11,004",48,671,94,2593,2,1
자양4동,27221.2454,6572.241967,5018,400,13596,9332,6,"17,958","10,270",36,683,70,2201,3,2
중곡1동,15134.51866,491.304075,4753,251,3399,3120,5,"15,416","8,657",53,1182,21,2342,3,1
중곡2동,18357.84062,415.832954,5132,338,4301,3783,2,"20,801","10,667",107,2318,50,937,1,2
중곡3동,15061.20941,297.695283,4073,207,10204,9605,3,"15,906","8,584",83,1387,84,2061,0,2
중곡4동,25468.56078,445.26725,7382,63,2517,2279,3,"27,841","13,124",50,553,22,4027,1,8
화양동,42015.48023,6406.366862,4186,890,50268,47441,12,"23,406","18,258",64,1124,26,2561,1,3
